DATE	MEHOINUSAKA672N	MEHOINUSALA672N	MEHOINUSARA672N	MEHOINUSAZA672N	MEHOINUSCAA672N	MEHOINUSCOA672N	MEHOINUSCTA672N	MEHOINUSDEA672N	MEHOINUSFLA672N	MEHOINUSGAA672N	MEHOINUSHIA672N	MEHOINUSIAA672N	MEHOINUSIDA672N	MEHOINUSILA672N	MEHOINUSINA672N	MEHOINUSKSA672N	MEHOINUSKYA672N	MEHOINUSLAA672N	MEHOINUSMAA672N	MEHOINUSMDA672N	MEHOINUSMEA672N	MEHOINUSMIA672N	MEHOINUSMNA672N	MEHOINUSMOA672N	MEHOINUSMSA672N	MEHOINUSMTA672N	MEHOINUSNCA672N	MEHOINUSNDA672N	MEHOINUSNEA672N	MEHOINUSNHA672N	MEHOINUSNJA672N	MEHOINUSNMA672N	MEHOINUSNVA672N	MEHOINUSNYA672N	MEHOINUSOHA672N	MEHOINUSOKA672N	MEHOINUSORA672N	MEHOINUSPAA672N	MEHOINUSRIA672N	MEHOINUSSCA672N	MEHOINUSSDA672N	MEHOINUSTNA672N	MEHOINUSTXA672N	MEHOINUSUTA672N	MEHOINUSVAA672N	MEHOINUSVTA672N	MEHOINUSWAA672N	MEHOINUSWIA672N	MEHOINUSWVA672N	MEHOINUSWYA672N
1984-01-01	76992	41190	37297	50981	60171	61394	71269	61437	47079	47552	68714	47265	50189	56518	54182	58605	42070	45090	64150	70691	49132	54646	58146	49435	36716	46486	48944	49425	50915	61663	66094	49090	61335	52414	55022	50322	50919	48414	51426	48326	46184	39933	54786	54865	63117	53725	59529	49358	40078	56671
1985-01-01	80017	42176	40147	54930	62071	64834	71524	52866	49100	48424	66626	48143	47762	57215	52165	52425	39940	48723	64891	69329	47205	55770	54882	50472	37759	46554	49349	48783	50150	60741	71271	46984	53543	54383	57914	48783	50368	52630	56651	46094	41736	40899	54622	58061	65402	59814	55213	53478	36770	50798
1986-01-01	70895	43257	42348	57655	65591	61480	73981	57940	51661	55100	65575	50779	46913	59941	51387	54096	44935	47232	68596	69195	52961	60153	59787	49572	37335	45961	49427	48629	49226	69068	71707	44869	59276	56581	56784	47363	56011	53827	60006	49669	44989	41276	54630	59421	67185	55618	60777	59758	37225	53266
1987-01-01	72640	43134	41152	58467	65893	57871	71829	63921	53528	58391	76550	48502	45366	59200	49222	55919	45187	46664	70472	76437	51584	60550	61381	51847	40465	44752	49748	49346	50859	70684	74843	45372	58749	57670	56334	47412	54728	55571	61840	54752	46231	46293	54035	57987	65565	55552	59713	57637	37611	60306
1988-01-01	69833	42082	42554	55767	63893	55300	76394	64353	53596	56043	69667	51273	49470	62283	55467	53933	41995	43240	70065	77109	55697	62173	61361	49455	38323	46898	51505	50824	53075	73044	76550	40706	59032	60998	58520	49927	58536	56414	62954	53864	47031	43997	52661	55509	68873	61152	68196	62391	40827	55733
1989-01-01	72776	43019	43321	57710	66718	54181	85540	64816	52723	55668	70813	53087	49831	63264	52345	54294	47060	46207	72937	72796	57041	62203	61010	53556	40256	47886	53372	50993	53196	75860	79070	45683	59302	63660	58658	47836	57663	57988	60887	48101	48727	45702	52321	62085	68960	63254	64600	58864	43814	59668
1990-01-01	75697	44991	43891	56292	64124	59199	74872	59335	51401	53089	74971	52563	48743	62683	51869	57627	47732	43157	69820	74847	52902	57665	60609	52648	38867	45026	50716	48664	52937	78600	74610	48231	61684	60851	57812	46969	56402	55870	61578	55350	47329	43517	54373	58060	67559	59902	61855	59156	42641	56747
1991-01-01	75482	45250	43556	57128	62568	58544	78348	60563	50651	50576	69226	53069	48539	59260	50348	54448	44168	47021	66378	68679	51796	59693	54790	51903	36196	46144	49909	48123	54920	66969	74435	49327	61217	59093	55368	47324	56111	56440	57312	51043	45794	45448	51545	52071	67164	54188	63137	57864	43021	53992
1992-01-01	75808	46803	43310	53241	63297	58910	74066	64702	49598	52224	76372	52126	50242	57218	51739	55033	42590	46134	65937	67468	53711	58517	56184	49619	37304	48103	50363	48890	54492	71518	70727	46897	57866	56311	56951	45853	57900	54191	55189	50013	47621	44101	50693	62115	69272	59402	61478	60404	36762	54784
1993-01-01	75941	44368	40754	53969	60272	61006	69900	63794	50502	56009	75465	50702	54854	58121	52139	52660	43119	46544	65563	70648	48535	57776	59580	50736	39254	46823	50980	49738	54850	67155	71641	47332	63352	56069	55340	46452	58618	54827	59274	46085	49064	44403	50815	63302	64447	54951	63070	56191	39661	52080
1994-01-01	78609	47123	44297	54222	61219	65554	71210	62158	50759	54524	73216	57317	54643	60786	48270	49074	46082	44490	70175	67919	52529	61138	58296	52311	44011	47877	52179	48998	55090	61070	73260	46619	62155	55272	55196	46768	54505	55562	55323	51715	51519	49624	53290	61886	65232	62035	58104	61318	40830	57423
1995-01-01	81137	43976	43676	52219	62618	68873	68090	59097	50328	57694	72502	60097	55287	64415	56486	51336	50438	47289	65266	69440	57287	61632	64181	58923	44901	46964	54107	49218	55715	66276	74318	43976	61053	55882	59119	44517	61544	58413	59826	49187	50045	49092	54209	61723	61286	57229	60180	69294	42096	53346
1996-01-01	86984	49940	44701	52140	63965	67489	69415	64784	50499	53556	68843	54731	57203	65188	57925	53703	53419	49874	65089	72504	57182	64646	67556	56471	43966	47273	58673	51865	56058	64946	78231	41344	63517	58358	56150	45218	58494	57516	60956	57131	48661	50744	54505	61041	64623	53328	60445	65925	41609	51013
1997-01-01	77424	51524	42205	52816	64035	69744	70957	69421	52357	59145	66035	54499	53887	66598	62736	58835	53965	53655	67792	75312	52868	62499	68664	58967	45975	47125	57817	51076	55965	66138	77468	48535	62679	57749	58291	50576	60087	60523	56135	55272	47902	49422	56583	69005	69298	56548	71888	63875	44344	53918
1998-01-01	80684	57723	44033	59034	65153	74169	74024	65987	55563	61541	64982	58921	58382	68724	63238	58431	57700	50511	67398	79608	56726	66564	76281	63986	46349	50260	57042	48233	57957	71557	79306	50205	63278	59518	61955	53682	62181	62098	64758	52949	52184	54261	56954	70508	69004	62666	75478	65778	42503	56106
1999-01-01	80099	56496	46258	57655	67994	75082	78847	72668	55841	61442	69358	64050	55793	72204	63645	58205	52579	50890	68580	81360	60565	71828	73307	64494	50616	48372	58059	50904	60197	71775	77509	50765	64615	62321	61542	50935	63303	58844	66576	56825	55837	56918	60294	71767	71211	64807	70868	71170	45658	58050
2000-01-01	79657	53395	44763	59966	70566	72713	75625	75916	58568	63158	77696	61786	56692	69433	61596	61889	54663	46302	70472	82201	56172	68601	81773	67975	51699	49405	57756	54257	62930	76762	75976	52896	68972	61414	64757	48885	64059	63573	63604	56630	54979	51393	58196	71673	71090	59681	64099	67962	44332	59733
2001-01-01	84071	51530	48861	62587	69267	72396	78185	72696	53378	62399	69526	60054	56046	67668	59179	60697	56333	48836	76581	78453	53658	66020	77209	60586	44204	47084	55930	52458	63916	75230	75875	48546	66542	61722	61240	52188	60489	63752	67011	55306	58141	52443	59884	69384	73633	59787	62273	66459	43488	58212
2002-01-01	76145	54255	46729	57330	68444	69681	77029	71637	54863	61954	68251	59227	54417	61624	59225	61493	53042	49068	71933	81387	53173	61631	78811	61719	44558	50262	52686	52231	61748	79820	78733	51159	64867	60550	61586	52603	60314	61318	61201	54557	54645	53429	57929	69056	71610	62041	65192	66231	42361	57372
2003-01-01	73132	52560	45149	58077	69553	70456	77545	69156	54982	59872	73128	58385	59779	63702	59853	62403	52110	47272	71888	73805	52359	63517	74523	61740	46173	48120	52593	57011	62039	78394	79069	49526	63746	60366	61398	50651	58743	60570	63079	54286	55758	52938	55404	69518	77288	61033	67025	65277	46222	60037
2004-01-01	75640	50317	48057	60231	67616	69902	75691	66005	55683	56299	77259	59606	60934	63296	58147	56412	48917	50042	71458	78442	56773	58047	77070	57883	47743	46645	55275	53876	60149	78046	75931	54346	64844	61334	59144	54418	56313	60588	65848	53150	56468	52299	56867	69881	70252	65016	68578	62822	45844	62362
2005-01-01	74262	49361	48707	60116	68766	67031	75516	68075	57120	61021	79171	61784	58696	64306	56385	55841	48761	49475	74429	80401	58360	61031	72035	57115	43681	49577	55879	56060	63675	75714	84196	51748	64055	62682	58732	50018	58673	61518	65749	53453	57334	52358	55037	72829	68977	67370	67293	59326	48424	59416
2006-01-01	72608	48843	47691	60046	71194	71680	80312	67486	58784	63504	77823	61937	59475	62638	58437	58624	50816	46959	71208	81939	58740	62607	72342	57372	44700	52901	51217	52826	61961	79753	87590	51515	67285	62060	59072	49983	60605	62388	69157	50986	58463	52371	55735	70305	73510	66898	70427	66526	49444	60540
2007-01-01	78834	52827	51054	59089	69750	76517	80271	68317	57310	60873	80122	61207	61553	65710	59386	60693	49373	51702	73165	82134	59938	61785	72658	57574	46654	54633	54456	59076	61540	84570	75724	55511	67652	61252	61446	54084	62869	60618	67843	55332	58091	51555	57634	66990	74039	59308	72686	64172	52676	61002
2008-01-01	77119	53602	47708	56540	68712	73448	77954	61105	54061	55712	74144	60430	57150	64181	56065	57701	49591	47681	72697	76784	56918	60004	66195	55484	43924	51702	51739	59815	61137	79754	78706	50741	65977	60815	56564	55572	62341	61949	64165	50805	62188	47848	56029	75369	74703	61110	68251	61705	45790	64281
2009-01-01	74503	48351	44189	55316	67888	67641	78430	63026	55186	52415	67301	61342	56573	63940	53582	54080	51597	54946	71805	77626	57448	55625	67835	58981	42423	48904	50681	60560	59980	77559	78341	52659	62204	60731	55486	55484	59379	58259	62446	49707	55422	49001	57416	70738	73169	63273	73038	61966	48968	63457
2010-01-01	68825	48701	45909	55795	64584	71663	78522	65692	52428	52489	70837	58317	55978	60354	54894	54793	48904	46758	72497	76384	57027	55057	62250	54511	45401	49113	52147	60685	62467	79277	74917	53699	60916	59228	54593	51282	60204	57482	61419	49611	53958	45914	56235	67461	71822	66541	66821	59906	50894	62107
2011-01-01	66241	49123	47638	56080	61554	67623	75450	63045	52024	53025	68105	57923	54739	58405	51263	53226	45970	46895	73025	79442	57316	56377	66690	52796	47393	46456	52141	65007	64148	75986	71901	48422	54260	58404	51497	55888	59430	57566	56555	46233	54467	48765	56571	64006	72222	59818	65571	60044	48237	62871
2012-01-01	71889	49092	44070	53135	64403	64668	72566	55313	52036	54352	63548	60362	54127	58437	52135	56477	46406	44146	71898	81137	55523	56491	69796	56208	41385	50926	46933	62987	58954	76600	75327	49047	53462	53854	50121	54675	58479	58625	63324	50150	55813	48562	58649	65895	73001	62779	70239	59952	49192	64959
2013-01-01	80661	52667	43825	58556	67663	75586	77120	60203	54016	52302	71493	66953	53943	60031	55043	53223	49950	51671	69594	77189	61167	62959	71592	51535	35992	48082	51573	65836	64134	76907	70958	44704	57704	55612	56482	51378	54536	61388	62687	48485	59448	48260	57215	67945	73354	72915	71145	57571	47935	75061
2014-01-01	74017	46272	49165	53906	66201	66696	76788	62955	50498	54236	77951	63271	58486	60103	52600	58492	46828	46412	69116	83359	56594	56917	73596	61979	38876	55929	51203	66466	62242	80330	71406	51096	54586	59440	54333	51657	64436	60385	64171	49173	58064	47845	58964	69370	72404	66442	64647	63566	43288	60950
2015-01-01	82066	48629	46760	57085	69527	72761	79637	63103	53345	55468	70486	66489	56403	66006	56795	59944	46311	50173	74143	80407	55455	59221	75093	64676	43743	56153	55500	62730	66072	82681	74685	49296	56823	63375	58235	51435	66466	65980	60858	50652	60163	51712	61701	72392	67178	65002	73468	60556	46789	66565
2016-01-01	81680	50936	49518	61592	71879	76117	81895	62612	55202	57738	77807	63743	61014	66215	60507	61279	48938	45515	77951	79562	54857	61582	75742	59344	44332	61565	57993	64918	64045	82259	73854	52262	59791	66270	58232	54950	63787	65776	66368	58610	61969	55383	62720	72789	71678	65623	75841	64522	47843	62378
2017-01-01	82351	53711	52535	63041	73957	79180	78462	68596	56056	61230	77717	67018	62826	69660	62055	60084	52451	46003	80509	86687	56299	59561	73890	59693	45703	60619	52319	63534	62917	79862	75226	48153	61289	64987	64084	54785	65995	64714	69061	57589	60099	58401	63454	73694	74773	67245	75543	67034	49585	62867
2018-01-01	70853	51475	51316	64203	72662	75285	75057	67016	56329	57542	82578	70836	60538	72307	61738	65909	56237	51514	89007	88881	60471	62312	74031	63629	44100	59457	55014	68555	69658	83854	76463	49771	63771	69348	63533	56112	71297	66513	64186	59215	61296	57788	61628	79443	79529	72226	82184	64560	52132	64467
2019-01-01	79373	56901	55220	71556	79080	73404	88380	75120	59097	57335	89105	66879	66812	75328	67526	74065	56357	52352	88802	96765	67377	64920	82443	61353	45346	60946	61922	70905	73983	87984	88821	53776	71791	72752	65470	60138	75342	71463	71027	62803	65057	57334	68286	85578	82328	75233	83483	68196	54376	65947
2020-01-01	74476	54393	50540	66628	77358	82611	79043	69132	57435	58952	80729	68469	66499	73753	66360	72815	56525	50935	86725	94384	63440	63829	78461	61901	44966	56442	60266	63657	72024	88235	85239	50822	60956	68304	60110	52341	76554	70117	80012	60097	69787	54665	68093	83670	81947	66902	81083	67094	51615	65108
