,Happiness,Future,Hardwork,FWBscore,FSscore,FKscore,KHscore,Financial knowledge,Reliable,Self-commitment,Financial Goals,Goal confidence,Planning,Management,Expenses difficulty,Savings habit,Retirement savings,Non-retirement savings,Housing,Monthly payment,Home value,Remaining mortgage,Housing satisfaction,Savings amount,Smart investing,Poor investing,Number of earners,Income volatility,Material hardship,Benefits,Life shocks,Parents education,Finance taught,Materialism,Health,Stress,Probability of 75 years,Financial planning horizon,Household education,Education,Kids 0-7,Kids 7-12,Kids 13-17,Kids 18+,Self-employed,Full-time,Part-time,Homemaker,Student,Unable to work,Unemployed,Retired,Other employment,Military status,Age,Race,Female,House size,Marital status,Metro area,Percent of poverty line,Region,Poor county,Above med income
0,5,5,6,55,44,1.0,1.0,5,4,3,1,3,4.0,3.5,2,4,0,0,I own my home,$750-999,"$150,000-249,999",2,4,6,0,1,1,2,0,1,2,Bachelors degree,6,4.0,2,4,100,3,Bachelors degree,Bachelors degree,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither Active nor Veteran,75+,White - Non-Hispanic,0,1,Divorced/Separated,1,200%+ FPL,Mountain,0,1
1,6,6,6,51,43,1.0,0.5555555555555556,5,4,3,0,3,2.0,3.25,2,1,0,0,I own my home,$750-999,"$150,000-249,999",2,3,2,0,1,2,2,0,2,0,High school degree/GED,1,3.3333333333333335,3,3,90,3,High school degree/GED,High school degree/GED,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,35-44,White - Non-Hispanic,0,2,Divorced/Separated,1,200%+ FPL,East-North Central,0,1
2,4,3,4,49,42,1.0,0.6666666666666666,5,3,3,1,3,4.0,3.0,1,5,1,1,I own my home,$500-749,"$250,000-399,999",2,3,4,0,0,2,3,0,1,0,Some college/Associate,2,3.6666666666666665,3,2,78,4,Some college/Associate,Some college/Associate,0,0,0,1,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,35-44,Black - Non-Hispanic,0,3,Divorced/Separated,1,200%+ FPL,Pacific,1,1
3,4,4,4,49,42,0.3333333333333333,0.1111111111111111,4,3,3,1,3,3.0,3.0,2,4,0,1,I rent,$300-499,Doesn't apply,-2,3,98,0,0,2,2,6,2,1,High school degree/GED,4,3.0,3,3,75,3,High school degree/GED,High school degree/GED,0,0,0,0,0,1,0,1,0,0,0,0,0,Neither Active nor Veteran,25-34,Other - Non-Hispanic,0,5,Married,1,200%+ FPL,West-North Central,1,1
4,5,7,5,67,57,1.0,0.7777777777777778,6,5,4,1,4,4.0,4.5,1,4,1,1,I own my home,$750-999,"Less than $150,000",2,4,5,0,1,1,1,0,4,1,Bachelors degree,5,2.6666666666666665,5,4,10,1,Bachelors degree,Bachelors degree,0,0,0,0,0,1,0,0,0,0,0,0,0,Spouse/dependent Active,25-34,White - Non-Hispanic,0,2,Married,1,200%+ FPL,East-North Central,0,1
5,5,4,7,51,54,1.0,1.0,5,5,3,1,3,3.5,4.5,2,5,0,1,I own my home,Prefer not to say,"$150,000-249,999",99,2,4,0,1,1,1,0,2,0,Graduate/professional degree,5,2.3333333333333335,3,4,70,3,Bachelors degree,Bachelors degree,0,2,1,1,0,0,0,1,0,0,0,0,0,Neither Active nor Veteran,35-44,Hispanic,1,5,Married,1,200%+ FPL,West-North Central,0,1
6,2,2,2,47,35,1.0,0.4444444444444444,4,2,3,0,2,3.0,1.0,2,2,0,0,I do not currently own or rent,Less than $300,Doesn't apply,-2,2,1,0,0,1,2,4,0,3,High school degree/GED,0,2.0,2,5,0,2,High school degree/GED,Less than high school,0,0,0,0,0,0,0,0,0,0,1,0,0,Neither Active nor Veteran,25-34,White - Non-Hispanic,1,3,Never married,1,200%+ FPL,West-North Central,0,0
7,4,5,4,58,42,1.0,0.5555555555555556,4,5,4,1,4,4.0,4.5,1,5,0,1,I own my home,"$1,000-1,499","Less than $150,000",98,2,7,0,1,1,1,0,4,1,High school degree/GED,3,3.0,3,4,100,4,High school degree/GED,High school degree/GED,0,0,0,0,0,1,1,0,0,0,0,0,0,Neither Active nor Veteran,45-54,White - Non-Hispanic,0,3,Married,1,200%+ FPL,Mid-Atlantic,0,1
8,7,7,7,78,66,0.6666666666666666,0.7777777777777778,5,5,5,1,4,4.75,4.5,1,6,0,1,I rent,$500-749,Doesn't apply,-2,4,6,0,1,2,2,0,2,0,Graduate/professional degree,7,2.6666666666666665,5,2,100,5,Some college/Associate,Some college/Associate,0,0,0,0,0,0,0,0,1,0,0,0,0,Neither Active nor Veteran,18-24,White - Non-Hispanic,0,5,Married,1,200%+ FPL,Mountain,0,1
9,5,7,7,62,57,1.0,0.7777777777777778,5,5,4,1,4,4.0,4.75,1,5,1,1,I own my home,"$1,000-1,499","$400,000 or more",1,4,7,0,1,2,1,0,2,0,Bachelors degree,7,3.0,5,3,95,4,Graduate/professional degree,Bachelors degree,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither Active nor Veteran,62-69,White - Non-Hispanic,1,2,Married,0,200%+ FPL,Mountain,0,1
10,5,6,7,50,49,0.6666666666666666,0.5555555555555556,5,4,4,1,3,4.25,4.0,1,5,0,0,I do not currently own or rent,Prefer not to say,Doesn't apply,-2,3,4,0,1,2,1,1,3,0,Some college/Associate,6,3.0,4,4,70,1,Some college/Associate,Some college/Associate,0,0,0,0,0,0,0,0,1,0,0,0,0,Neither Active nor Veteran,18-24,White - Non-Hispanic,1,4,Never married,1,100%-199% FPL,West-South Central,1,0
11,1,1,1,40,30,1.0,0.5555555555555556,1,1,1,0,3,1.0,1.0,2,1,0,0,I do not currently own or rent,Less than $300,Doesn't apply,-2,3,1,0,1,2,1,0,1,0,Graduate/professional degree,5,1.0,4,4,0,5,Graduate/professional degree,Bachelors degree,0,0,0,0,0,0,1,0,0,0,0,0,0,Neither Active nor Veteran,25-34,White - Non-Hispanic,0,3,Never married,1,200%+ FPL,Pacific,0,1
12,5,7,7,61,71,1.0,0.8888888888888888,7,4,4,1,4,5.0,4.75,1,6,1,0,I own my home,"$2,000 or more","$400,000 or more",3,4,7,0,1,1,2,0,4,1,Bachelors degree,6,3.3333333333333335,3,4,80,5,Graduate/professional degree,Graduate/professional degree,1,0,0,0,1,1,0,0,0,0,0,0,0,Neither Active nor Veteran,25-34,White - Non-Hispanic,0,3,Married,1,200%+ FPL,South Atlantic,0,1
13,7,6,7,69,48,1.0,0.3333333333333333,4,3,3,0,3,4.0,3.75,1,5,0,1,I rent,Less than $300,Doesn't apply,-2,4,5,0,0,2,2,0,0,1,Less than high school,0,1.6666666666666667,3,3,100,4,Less than high school,Less than high school,2,1,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,25-34,Hispanic,0,5,Living with partner,1,<100% FPL,South Atlantic,0,0
14,3,5,4,37,32,0.3333333333333333,0.5555555555555556,4,5,5,1,3,2.5,2.0,2,2,0,0,I do not currently own or rent,Prefer not to say,Doesn't apply,-2,2,2,0,1,1,3,3,1,0,High school degree/GED,2,2.0,4,5,50,1,High school degree/GED,High school degree/GED,0,0,0,0,0,0,0,0,0,0,1,0,0,Refused,18-24,White - Non-Hispanic,0,5,Never married,1,<100% FPL,Pacific,0,0
15,5,5,5,52,40,0.6666666666666666,0.4444444444444444,5,4,3,1,3,3.25,3.25,1,2,0,0,I rent,$750-999,Doesn't apply,-2,4,3,0,1,2,1,1,3,0,Some college/Associate,3,4.0,3,4,70,2,Some college/Associate,Some college/Associate,0,0,0,0,0,1,0,0,1,0,0,0,0,Neither Active nor Veteran,18-24,White - Non-Hispanic,1,2,Married,1,200%+ FPL,West-South Central,0,0
16,7,6,7,69,50,0.6666666666666666,1.0,7,5,3,0,3,2.25,4.25,1,5,0,0,I own my home,Less than $300,"$400,000 or more",1,4,7,0,1,1,2,0,2,1,Graduate/professional degree,3,3.0,3,4,80,5,Graduate/professional degree,Graduate/professional degree,0,0,0,2,1,0,0,0,0,0,0,1,0,Neither Active nor Veteran,70-74,White - Non-Hispanic,0,2,Married,1,200%+ FPL,New England,0,1
17,7,7,7,67,79,0.3333333333333333,0.5555555555555556,7,5,5,1,4,5.0,5.0,1,4,0,0,I own my home,Prefer not to say,Prefer not to say,99,4,99,0,0,1,2,0,2,1,Some college/Associate,5,2.6666666666666665,2,1,76,2,Some college/Associate,High school degree/GED,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither Active nor Veteran,62-69,Black - Non-Hispanic,1,1,Divorced/Separated,1,100%-199% FPL,South Atlantic,0,0
18,3,2,2,40,38,0.6666666666666666,0.6666666666666666,3,5,3,1,3,2.5,3.75,2,4,1,1,I own my home,"$1,500-1,999","$400,000 or more",3,4,5,0,1,2,1,0,3,0,Some college/Associate,6,2.0,4,5,80,2,Some college/Associate,Some college/Associate,0,1,1,0,0,1,0,0,0,0,0,0,0,Spouse/dependent Veteran,35-44,White - Non-Hispanic,1,2,Married,1,200%+ FPL,Mountain,0,1
19,4,4,4,51,41,0.6666666666666666,0.4444444444444444,5,3,3,-1,3,2.75,4.5,2,4,0,0,I own my home,"$1,000-1,499","$400,000 or more",2,3,6,0,1,2,2,3,3,1,Bachelors degree,0,1.6666666666666667,2,3,50,3,Bachelors degree,Bachelors degree,0,0,2,0,0,1,0,0,0,0,0,0,0,Veteran (veteran or retired),45-54,Other - Non-Hispanic,0,5,Married,1,200%+ FPL,Pacific,0,1
20,5,5,5,61,54,1.0,1.0,5,4,4,1,4,4.0,5.0,1,5,1,1,I own my home,"$1,500-1,999","$400,000 or more",2,3,6,0,1,2,2,0,4,1,Some college/Associate,7,2.0,3,3,75,5,Graduate/professional degree,Graduate/professional degree,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither Active nor Veteran,62-69,Other - Non-Hispanic,0,1,Living with partner,1,200%+ FPL,Pacific,0,1
21,5,3,4,37,49,1.0,1.0,4,4,3,1,2,3.25,2.5,3,1,0,0,I rent,"$1,000-1,499",Doesn't apply,-2,4,3,0,0,2,1,5,2,2,Graduate/professional degree,4,2.6666666666666665,3,4,50,3,Bachelors degree,Some college/Associate,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,25-34,White - Non-Hispanic,1,2,Living with partner,1,200%+ FPL,Mid-Atlantic,0,0
22,7,7,7,47,75,0.6666666666666666,0.1111111111111111,4,4,4,1,4,5.0,5.0,1,6,0,1,I rent,$750-999,Doesn't apply,-2,3,99,0,0,1,1,0,1,1,Some college/Associate,1,1.0,5,1,10,2,Some college/Associate,Some college/Associate,0,0,0,1,0,0,0,0,0,1,0,0,0,Neither Active nor Veteran,35-44,Black - Non-Hispanic,1,1,Never married,0,200%+ FPL,West-North Central,1,1
23,7,7,7,64,68,1.0,0.8888888888888888,6,5,4,1,4,4.75,4.5,1,4,0,1,I rent,"$1,000-1,499",Doesn't apply,-2,3,6,0,1,2,2,0,0,0,Less than high school,4,3.3333333333333335,3,3,100,3,Bachelors degree,Bachelors degree,0,0,0,0,1,0,0,0,0,0,0,1,0,Neither Active nor Veteran,75+,Hispanic,0,5,Married,1,200%+ FPL,West-South Central,1,1
24,7,6,6,80,51,1.0,1.0,6,4,4,0,3,2.25,4.5,1,5,0,1,I own my home,Less than $300,"$400,000 or more",1,4,7,0,1,1,1,0,2,0,Graduate/professional degree,2,5.0,3,2,100,4,High school degree/GED,High school degree/GED,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither Active nor Veteran,75+,White - Non-Hispanic,0,1,Married,1,200%+ FPL,East-South Central,1,1
25,5,6,6,63,50,0.6666666666666666,0.7777777777777778,5,5,4,1,3,3.5,4.0,1,6,1,1,I rent,"$1,000-1,499",Doesn't apply,-2,3,6,0,1,2,1,0,3,0,Some college/Associate,3,3.6666666666666665,3,3,75,3,Some college/Associate,Some college/Associate,0,0,0,0,0,1,0,0,0,0,0,0,0,Veteran (veteran or retired),45-54,Black - Non-Hispanic,0,2,Married,1,200%+ FPL,East-North Central,0,1
26,5,5,4,52,61,1.0,0.7777777777777778,5,5,4,1,3,4.0,4.5,1,4,0,0,I own my home,"$1,000-1,499","$250,000-399,999",2,3,5,0,1,2,2,1,3,2,Graduate/professional degree,6,2.0,4,3,99,2,High school degree/GED,High school degree/GED,0,0,0,0,0,1,0,0,0,0,0,0,0,Spouse/dependent Veteran,55-61,White - Non-Hispanic,1,2,Married,1,200%+ FPL,Pacific,1,1
