,Happiness,Future,Hardwork
5900,1,0,1
4864,0,0,0
2754,0,1,1
3686,1,1,0
5732,0,0,1
1051,1,0,0
3536,0,0,0
3656,0,1,1
3801,1,0,1
1666,1,1,0
1242,0,0,0
4767,1,1,1
610,0,0,1
5402,0,0,1
3762,0,1,0
6064,1,1,1
560,1,0,1
910,1,0,0
2534,0,0,1
717,0,0,0
2274,1,1,1
3162,0,1,1
3677,0,0,0
3506,0,0,0
3373,0,0,0
3420,1,0,1
3659,0,0,0
5092,0,0,0
4423,0,0,0
1404,1,1,1
1328,0,0,0
3583,0,0,0
3336,1,1,1
4642,1,0,0
4716,1,1,1
100,1,1,1
4007,0,0,0
5300,1,0,0
4613,0,0,1
4647,1,1,1
1162,1,1,1
2438,1,1,0
1626,0,1,0
1463,0,0,0
5176,1,1,1
3699,0,0,0
210,1,1,0
3906,1,1,1
5992,0,0,0
4242,0,0,1
3853,1,1,1
3239,0,1,1
4615,0,0,0
1615,0,0,0
3649,0,0,0
1005,1,1,1
1240,0,0,0
1966,0,0,0
2641,0,0,0
5350,0,0,0
4378,0,0,0
6053,1,1,1
5925,0,0,0
1859,1,1,1
5540,1,1,1
2246,1,0,1
4670,0,0,0
372,1,0,1
2527,0,0,0
5583,1,0,0
5438,0,1,0
5642,0,0,1
4369,1,1,0
2090,1,1,0
2161,1,1,1
834,0,1,1
4744,1,1,1
1681,0,0,0
4326,0,0,1
4075,0,0,1
2742,1,1,0
3745,0,0,0
4244,1,1,1
2704,1,1,0
205,1,1,1
1006,1,1,0
5221,1,1,0
3329,0,1,1
3237,1,1,1
5757,0,0,1
4358,1,1,1
3635,0,0,0
951,1,0,1
4617,1,1,1
5397,1,1,1
2223,0,1,1
1497,0,0,0
3335,1,1,1
6055,0,0,0
4515,1,1,1
1549,1,1,1
1947,1,1,0
4436,0,0,0
2776,1,1,1
3589,0,0,0
1833,1,1,1
57,1,1,1
3512,1,0,1
1520,1,1,1
5226,0,1,0
2490,1,1,1
1929,0,0,1
1748,0,0,0
5403,0,0,1
646,0,0,0
5282,1,1,1
5978,1,1,1
1579,0,0,0
2064,0,0,1
2253,0,0,0
4466,0,1,1
4388,1,1,1
5536,1,1,1
4521,1,1,1
2666,1,0,0
3468,1,0,0
4084,0,0,0
