,Best training score,Accuracy,F1 score,AUC,Target,Model
1,0.7557116796062958,0.7479406919275123,0.7756598240469209,0.7428030220200739,Happiness,Logistic Regression
1,0.7176076534724875,0.71499176276771,0.7525035765379113,0.7068993880371126,Future,Logistic Regression
1,0.6673564973908617,0.6696869851729819,0.7317725752508362,0.6498614497894036,Hardwork,Logistic Regression
1,0.7077239958805355,0.6680395387149918,0.7012601927353596,0.6633793269335899,Happiness,KNN
1,0.6700308959835221,0.6457990115321252,0.7009735744089012,0.6336557653922923,Future,KNN
1,0.6203913491246138,0.6202635914332785,0.6903962390866353,0.6001246951895367,Hardwork,KNN
1,0.745005149330587,0.7347611202635914,0.7649635036496351,0.7291115435918744,Happiness,Random Forest
1,0.7077239958805356,0.6943986820428336,0.7348105789849894,0.6860125902042071,Future,Random Forest
1,0.6622039134912462,0.6622734761120264,0.7295514511873351,0.6397611394369319,Hardwork,Random Forest
1,0.7468589083419156,0.7454695222405272,0.7726269315673289,0.7406627889178019,Happiness,XGBoost
1,0.7130792996910402,0.7051070840197694,0.7446504992867332,0.6965793687350574,Future,XGBoost
1,0.6671472708547889,0.6639209225700164,0.7294429708222812,0.6424074484593216,Hardwork,XGBoost
